Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,22.9
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,21.5
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,19.8
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,17.6
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,17.6
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,19.0
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,19.4
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,18.9
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,17.6
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,24.2
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,23.0
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,21.3
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,19.1
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,17.7
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,17.2
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,17.0
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,16.9
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,15.5
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,21.6
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,20.0
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,18.2
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,16.1
