Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,7.3
2002,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,6.7
2003,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,6.4
2004,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,6.4
2005,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,6.1
2006,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,5.8
2007,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,5.3
2008,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,5.0
2009,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,4.7
2010,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,4.1
2011,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,3.7
2012,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,3.1
2013,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,2.9
2014,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,2.7
2015,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,2.6
2016,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,2.6
2017,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,12,PT,2025-08-08T00:00:00,2023-2025,2.5
2001,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,2.3
2002,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,2.1
2003,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,2.1
2004,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,2.1
2005,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,2.0
2006,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.9
2007,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.8
2008,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.7
2009,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.7
2010,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.5
2011,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.3
2012,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.2
2013,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.1
2014,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.1
2015,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.0
2016,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.1
2017,O,6,NaN = A figure was not provided,NA,SN_ITK_DEFCN,12,NUMBER,2025-08-08T00:00:00,2023-2025,1.0
